Transaction_ID,Transaction_Reference,Transaction_Date,Transaction_Time,prediction_timestamp,Transaction_Amount,Transaction_Type,Payment_Mode,Channel,Bank_Name,sourceHashedAccNo,destinationHashedAccNo,ATM_ID,City,District,State,Latitude,Longitude,Is_Fraud,Fraud_Type,Mule_Chain_Hop,DeviceID,IP_Address,LoginAttempts,TransactionDuration,AccountBalance
TXN_20260601_014338,UTR20260601198062,2026-06-01,01:55:17,2026-06-01 01:55:17,5000.0,Debit,ATM,ATM,State Bank of India,c9608209346c0847,f62c108575685623,ATM_GUR_0352,Gurgaon/Gurugram,Gurugram,Haryana,28.437817,77.040542,0,None,0,DEV_1783,103.235.34.83,1,15.2,15799.85
TXN_20260601_040938,UTR20260601690577,2026-06-01,01:57:59,2026-06-01 01:57:59,276.13,Debit,Online,Online,Punjab National Bank,238d3f7f9be8fe11,f4c726cc34a156d5,NONE,Dumka,Dumka,Jharkhand,24.270554,87.253938,0,None,0,DEV_9810,103.63.157.128,1,56.6,3872.13
TXN_20260601_030462,UTR20260601158364,2026-06-01,02:01:46,2026-06-01 02:01:46,3000.0,Debit,ATM,ATM,IndusInd Bank,af611d83232e8718,852f7355d5d82edc,ATM_DEL_0353,Delhi,Central Delhi,Delhi,28.638486,77.236018,0,None,0,DEV_8615,103.29.24.51,1,10.1,25879.59
TXN_20260601_056446,UTR20260601978513,2026-06-01,02:04:50,2026-06-01 02:04:50,75000.0,Transfer,UPI,UPI,Bank of Baroda,e7e9813d11d0339d,d84e8ce4a1e4e696,NONE,Mathura,Mathura,Uttar Pradesh,27.488202,77.681116,1,Card Cloning,1,DEV_MULE_676,182.163.216.161,3,30.2,15416.23
TXN_20260601_056447,UTR20260601562250,2026-06-01,02:14:50,2026-06-01 02:14:50,56490.16,Transfer,UPI,UPI,Bank of Baroda,d84e8ce4a1e4e696,5b906b46a1ae1e2f,NONE,Mathura,Mathura,Uttar Pradesh,27.493492,77.651162,1,Card Cloning,2,DEV_MULE_107,182.148.184.48,2,28.3,5383.33
TXN_20260601_054121,UTR20260601695761,2026-06-01,02:23:02,2026-06-01 02:23:02,15000.0,Transfer,UPI,UPI,Bank of Baroda,78b71d70850694b3,a75ea9220a53636e,NONE,Kaman,Bharatpur,Rajasthan,27.665913,77.266199,1,OTP / SIM-Swap Fraud,1,DEV_MULE_574,182.171.44.77,3,33.3,8473.54
TXN_20260601_001481,UTR20260601211565,2026-06-01,02:26:55,2026-06-01 02:26:55,1180.21,Credit,POS/Card,POS/Card,Bank of Baroda,5568f423f202fb94,0ca02c63edf5dccb,NONE,Patna,Patna,Bihar,25.634817,85.153886,0,None,0,DEV_6280,103.167.217.56,1,102.1,5698.22
TXN_20260601_055723,UTR20260601564840,2026-06-01,02:29:02,2026-06-01 02:29:02,75000.0,Transfer,UPI,UPI,Punjab National Bank,28abd93f191a5f84,517b1ba44a88cfe1,NONE,Deoghar,Deoghar,Jharkhand,24.478503,86.693971,1,Vishing / Customer Care Scam,1,DEV_MULE_635,182.197.158.139,3,13.7,3800.59
TXN_20260601_055724,UTR20260601723234,2026-06-01,02:35:02,2026-06-01 02:35:02,62971.71,Transfer,UPI,UPI,Punjab National Bank,517b1ba44a88cfe1,4e508af0ad619bf8,NONE,Deoghar,Deoghar,Jharkhand,24.473943,86.681153,1,Vishing / Customer Care Scam,2,DEV_MULE_273,182.224.155.174,2,70.3,11231.45
TXN_20260601_054122,UTR20260601621911,2026-06-01,02:42:02,2026-06-01 02:42:02,10751.14,Transfer,UPI,UPI,Bank of Baroda,a75ea9220a53636e,dcb9b35525e47b3b,NONE,Kaman,Bharatpur,Rajasthan,27.662013,77.245759,1,OTP / SIM-Swap Fraud,2,DEV_MULE_982,182.116.172.29,2,33.2,9022.43
TXN_20260601_053917,UTR20260601310216,2026-06-01,02:46:39,2026-06-01 02:46:39,75000.0,Transfer,UPI,UPI,Punjab National Bank,9ae893c5ea980319,c585c4dd4c9c130a,NONE,Mathura,Mathura,Uttar Pradesh,27.501888,77.666871,1,ATM Skimming,1,DEV_MULE_123,182.104.170.37,3,20.2,1234.98
TXN_20260601_023061,UTR20260601940154,2026-06-01,02:49:29,2026-06-01 02:49:29,14070.77,Debit,Online,Online,HDFC Bank,9216188fd09e2aae,28a8d0ec84921d91,NONE,Bardhaman,Purba Bardhaman,West Bengal,23.210759,87.842752,0,None,0,DEV_2017,103.90.147.115,1,61.3,20506.13
TXN_20260601_057472,UTR20260601808244,2026-06-01,02:49:49,2026-06-01 02:49:49,75000.0,Transfer,UPI,UPI,Punjab National Bank,a01efd9056f78f7a,39d89ad58c428321,NONE,Dhanbad,Dhanbad,Jharkhand,23.790697,86.416586,1,UPI Phishing & Impersonation,1,DEV_MULE_862,182.196.208.20,3,8.6,7492.38
TXN_20260601_056448,UTR20260601899484,2026-06-01,02:49:50,2026-06-01 02:49:50,35000.0,Debit,ATM,ATM,Bank of Baroda,5b906b46a1ae1e2f,f145ec6cb0917c0d,ATM_MAT_0231,Mathura,Mathura,Uttar Pradesh,27.516648,77.65185,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0231,10.24.62.24,3,35.3,188.52
TXN_20260601_053918,UTR20260601912244,2026-06-01,02:50:39,2026-06-01 02:50:39,65930.38,Transfer,UPI,UPI,Punjab National Bank,c585c4dd4c9c130a,25b4897b17da60b5,NONE,Mathura,Mathura,Uttar Pradesh,27.490313,77.673674,1,ATM Skimming,2,DEV_MULE_199,182.59.81.170,2,10.2,1839.8
TXN_20260601_057473,UTR20260601485444,2026-06-01,02:57:49,2026-06-01 02:57:49,65368.23,Transfer,UPI,UPI,Punjab National Bank,39d89ad58c428321,4f17dbd82bb31072,NONE,Dhanbad,Dhanbad,Jharkhand,23.803395,86.42943,1,UPI Phishing & Impersonation,2,DEV_MULE_685,182.80.164.225,2,18.0,681.0
TXN_20260601_012962,UTR20260601314067,2026-06-01,03:07:41,2026-06-01 03:07:41,7622.26,Transfer,Online,Online,ICICI Bank,88c57491d0548e50,21282814bc223d78,NONE,Alwar,Alwar,Rajasthan,27.527675,76.635222,0,None,0,DEV_4948,103.162.230.46,1,42.2,71551.36
TXN_20260601_055725,UTR20260601660840,2026-06-01,03:10:02,2026-06-01 03:10:02,20000.0,Debit,ATM,ATM,Punjab National Bank,4e508af0ad619bf8,f145ec6cb0917c0d,ATM_DEO_0553,Deoghar,Deoghar,Jharkhand,24.51507,86.687463,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0553,10.24.222.98,2,80.0,177.56
TXN_20260601_045373,UTR20260601878317,2026-06-01,03:13:46,2026-06-01 03:13:46,64.91,Debit,UPI,UPI,Punjab National Bank,7975717ecf51266d,12d2c0f25a2d5fdc,NONE,Patna,Patna,Bihar,25.578115,85.109137,0,None,0,DEV_9451,103.205.237.65,1,69.8,10589.95
TXN_20260601_053919,UTR20260601733725,2026-06-01,03:15:39,2026-06-01 03:15:39,20000.0,Debit,ATM,ATM,Punjab National Bank,25b4897b17da60b5,f145ec6cb0917c0d,ATM_MAT_0241,Mathura,Mathura,Uttar Pradesh,27.463168,77.693917,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0241,10.24.211.59,1,44.2,581.56
TXN_20260601_054123,UTR20260601432516,2026-06-01,03:21:02,2026-06-01 03:21:02,40000.0,Debit,ATM,ATM,Bank of Baroda,dcb9b35525e47b3b,f145ec6cb0917c0d,ATM_KAM_0029,Kaman,Bharatpur,Rajasthan,27.626063,77.260344,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0029,10.24.112.70,2,33.5,1121.88
TXN_20260601_040818,UTR20260601683302,2026-06-01,03:33:33,2026-06-01 03:33:33,5000.0,Debit,ATM,ATM,Bank of Baroda,f8da27abd8014af7,1f790cde3922cf4e,ATM_NAL_0518,Nalanda,Nalanda,Bihar,25.137724,85.51946,0,None,0,DEV_8871,103.47.64.67,1,13.8,10978.0
TXN_20260601_051736,UTR20260601235289,2026-06-01,03:35:24,2026-06-01 03:35:24,95000.0,Transfer,UPI,UPI,State Bank of India,629f1471639b26b9,9a8b85214b7acbfb,NONE,Gurgaon/Gurugram,Gurugram,Haryana,28.466853,77.024469,1,Unauthorized ATM Cash-Out,1,DEV_MULE_862,182.89.80.22,3,5.4,6216.98
TXN_20260601_057474,UTR20260601609935,2026-06-01,03:40:49,2026-06-01 03:40:49,10000.0,Debit,ATM,ATM,Punjab National Bank,4f17dbd82bb31072,f145ec6cb0917c0d,ATM_DHA_0175,Dhanbad,Dhanbad,Jharkhand,23.817246,86.374372,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0175,10.24.238.40,2,72.9,1019.49
TXN_20260601_049249,UTR20260601680076,2026-06-01,03:48:16,2026-06-01 03:48:16,25000.0,Transfer,UPI,UPI,HDFC Bank,7dac6f3722cb4ebf,4d501fa15a16851b,NONE,Kaman,Bharatpur,Rajasthan,27.650272,77.264862,1,ATM Skimming,1,DEV_MULE_922,182.203.139.160,3,14.7,10344.07
TXN_20260601_051737,UTR20260601191089,2026-06-01,03:51:24,2026-06-01 03:51:24,83303.85,Transfer,UPI,UPI,State Bank of India,9a8b85214b7acbfb,e55df95464dbec67,NONE,Gurgaon/Gurugram,Gurugram,Haryana,28.437649,77.014914,1,Unauthorized ATM Cash-Out,2,DEV_MULE_413,182.73.162.4,2,29.4,5418.94
TXN_20260601_049250,UTR20260601976918,2026-06-01,03:56:16,2026-06-01 03:56:16,20438.69,Transfer,UPI,UPI,HDFC Bank,4d501fa15a16851b,daf756291464073b,NONE,Kaman,Bharatpur,Rajasthan,27.668799,77.273665,1,ATM Skimming,2,DEV_MULE_366,182.144.54.84,2,27.7,22685.69
TXN_20260601_000720,UTR20260601651986,2026-06-01,03:57:18,2026-06-01 03:57:18,1000.0,Debit,ATM,ATM,Axis Bank,9d714bf8be2689cf,0a3ba6cc723c5112,ATM_DUM_0169,Dumka,Dumka,Jharkhand,24.282029,87.195075,0,None,0,DEV_5021,103.82.205.78,1,11.1,24275.28
TXN_20260601_036105,UTR20260601696259,2026-06-01,04:00:55,2026-06-01 04:00:55,191.8,Debit,UPI,UPI,HDFC Bank,4d3226f4d8775b36,9440c59172e88a5b,NONE,Alwar,Alwar,Rajasthan,27.507484,76.672085,0,None,0,DEV_4136,103.123.17.89,1,46.4,13583.81
TXN_20260601_049251,UTR20260601926066,2026-06-01,04:04:16,2026-06-01 04:04:16,10000.0,Debit,ATM,ATM,HDFC Bank,daf756291464073b,f145ec6cb0917c0d,ATM_KAM_0189,Kaman,Bharatpur,Rajasthan,27.60983,77.267082,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0189,10.24.178.225,1,76.8,533.53
TXN_20260601_018483,UTR20260601175198,2026-06-01,04:09:59,2026-06-01 04:09:59,205.63,Debit,POS/Card,POS/Card,ICICI Bank,1c2b76f6dbadfbaa,deedb17f98f559de,NONE,Dhanbad,Dhanbad,Jharkhand,23.796711,86.461858,0,None,0,DEV_4616,103.101.41.133,1,34.6,16361.97
TXN_20260601_051738,UTR20260601393682,2026-06-01,04:12:24,2026-06-01 04:12:24,20000.0,Debit,ATM,ATM,State Bank of India,e55df95464dbec67,f145ec6cb0917c0d,ATM_GUR_0271,Gurgaon/Gurugram,Gurugram,Haryana,28.46398,77.073869,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0271,10.24.118.213,3,37.6,2071.58
TXN_20260601_049891,UTR20260601532516,2026-06-01,04:19:36,2026-06-01 04:19:36,95000.0,Transfer,UPI,UPI,ICICI Bank,8859797bdc6f1666,12649093eaa7ca4d,NONE,Patna,Patna,Bihar,25.590425,85.122335,1,ATM Skimming,1,DEV_MULE_766,182.103.199.61,3,28.4,1365.11
TXN_20260601_035512,UTR20260601779142,2026-06-01,04:23:37,2026-06-01 04:23:37,941.13,Debit,UPI,UPI,Union Bank of India,7034c908a0d71213,348f06f302d9332a,NONE,Delhi,Central Delhi,Delhi,28.640268,77.200243,0,None,0,DEV_6555,103.170.88.208,1,49.0,1985.56
TXN_20260601_055438,UTR20260601914382,2026-06-01,04:28:28,2026-06-01 04:28:28,75000.0,Transfer,UPI,UPI,Axis Bank,6a817c405bac5dc0,2857600ba66b2a07,NONE,Delhi,Central Delhi,Delhi,28.610848,77.19699,1,UPI Phishing & Impersonation,1,DEV_MULE_254,182.208.25.149,3,36.7,2732.74
TXN_20260601_056752,UTR20260601662185,2026-06-01,04:36:27,2026-06-01 04:36:27,25000.0,Transfer,UPI,UPI,HDFC Bank,cafaf39c78abcf1f,89b54f02989cf439,NONE,Bardhaman,Purba Bardhaman,West Bengal,23.230072,87.855453,1,UPI Phishing & Impersonation,1,DEV_MULE_983,182.198.188.119,3,5.5,2733.74
TXN_20260601_049892,UTR20260601954832,2026-06-01,04:36:36,2026-06-01 04:36:36,80471.6,Transfer,UPI,UPI,ICICI Bank,12649093eaa7ca4d,9eae3c6fa2370392,NONE,Patna,Patna,Bihar,25.583773,85.141274,1,ATM Skimming,2,DEV_MULE_388,182.79.137.160,2,8.7,5684.5
TXN_20260601_055439,UTR20260601250645,2026-06-01,04:40:28,2026-06-01 04:40:28,65301.03,Transfer,UPI,UPI,Axis Bank,2857600ba66b2a07,05e447259a036520,NONE,Delhi,Central Delhi,Delhi,28.621848,77.196,1,UPI Phishing & Impersonation,2,DEV_MULE_967,182.12.123.127,2,17.0,7433.69
TXN_20260601_044153,UTR20260601927092,2026-06-01,04:47:09,2026-06-01 04:47:09,5460.26,Transfer,Online,Online,Kotak Mahindra Bank,12f049187180d159,3365b62ef804b6df,NONE,Mathura,Mathura,Uttar Pradesh,27.505431,77.716938,0,None,0,DEV_6909,103.193.180.232,1,98.4,186747.34
TXN_20260601_056753,UTR20260601406267,2026-06-01,04:49:27,2026-06-01 04:49:27,22038.11,Transfer,UPI,UPI,HDFC Bank,89b54f02989cf439,90a88995b72903ff,NONE,Bardhaman,Purba Bardhaman,West Bengal,23.228604,87.866299,1,UPI Phishing & Impersonation,2,DEV_MULE_563,182.135.141.40,2,14.1,20725.13
TXN_20260601_011552,UTR20260601242238,2026-06-01,04:54:13,2026-06-01 04:54:13,3000.0,Debit,ATM,ATM,HDFC Bank,ba703560775d92ad,639b7301e0205a0e,ATM_ALW_0048,Alwar,Alwar,Rajasthan,27.544713,76.66446,0,None,0,DEV_8585,103.149.244.155,1,21.6,1249.64
TXN_20260601_001986,UTR20260601753565,2026-06-01,04:54:24,2026-06-01 04:54:24,3722.47,Transfer,POS/Card,POS/Card,Bank of Baroda,b0115c02c5247797,82c98d21f80c4de3,NONE,Alwar,Alwar,Rajasthan,27.554472,76.678028,0,None,0,DEV_4825,103.112.205.173,1,32.8,7044.74
TXN_20260601_056754,UTR20260601635266,2026-06-01,04:58:27,2026-06-01 04:58:27,20000.0,Debit,ATM,ATM,HDFC Bank,90a88995b72903ff,f145ec6cb0917c0d,ATM_BAR_0386,Bardhaman,Purba Bardhaman,West Bengal,23.194208,87.830733,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0386,10.24.63.19,2,20.3,5813.38
TXN_20260601_049893,UTR20260601405479,2026-06-01,05:06:36,2026-06-01 05:06:36,10000.0,Debit,ATM,ATM,ICICI Bank,9eae3c6fa2370392,f145ec6cb0917c0d,ATM_PAT_0028,Patna,Patna,Bihar,25.596356,85.179967,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0028,10.24.230.128,2,94.0,158.18
TXN_20260601_039333,UTR20260601681945,2026-06-01,05:06:56,2026-06-01 05:06:56,132.77,Credit,UPI,UPI,Bank of Baroda,17df16e4138c007f,37090b98bca7cea5,NONE,Bardhaman,Purba Bardhaman,West Bengal,23.258417,87.84083,0,None,0,DEV_7368,103.213.47.39,1,56.6,42232.93
TXN_20260601_041906,UTR20260601649941,2026-06-01,05:07:50,2026-06-01 05:07:50,791.0,Debit,UPI,UPI,HDFC Bank,0c90286195b96307,59265d809c972f6d,NONE,Mathura,Mathura,Uttar Pradesh,27.474322,77.678514,0,None,0,DEV_7402,103.221.86.155,1,10.8,12836.77
TXN_20260601_007182,UTR20260601692193,2026-06-01,05:09:01,2026-06-01 05:09:01,647.37,Credit,Online,Online,State Bank of India,530bed6272a05c8a,9ce59599b9b4d415,NONE,Delhi,Central Delhi,Delhi,28.594767,77.202559,0,None,0,DEV_3120,103.191.240.132,1,12.9,13574.39
TXN_20260601_031607,UTR20260601237462,2026-06-01,05:10:37,2026-06-01 05:10:37,1000.0,Debit,ATM,ATM,Axis Bank,8aebaef1e5c2cac7,ec4be4aa8559d7bb,ATM_GUR_0021,Gurgaon/Gurugram,Gurugram,Haryana,28.495055,77.03268,0,None,0,DEV_9933,103.159.133.227,2,32.4,34222.5
TXN_20260601_025407,UTR20260601308888,2026-06-01,05:16:42,2026-06-01 05:16:42,566.96,Transfer,UPI,UPI,State Bank of India,11189c858583d750,872a1326955f155f,NONE,Punahana,Nuh,Haryana,27.902464,77.187381,0,None,0,DEV_3285,103.61.159.88,1,54.2,8128.8
TXN_20260601_055440,UTR20260601669409,2026-06-01,05:23:28,2026-06-01 05:23:28,45000.0,Debit,ATM,ATM,Axis Bank,05e447259a036520,f145ec6cb0917c0d,ATM_DEL_0578,Delhi,Central Delhi,Delhi,28.640776,77.287846,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0578,10.24.196.225,3,91.9,1674.7
TXN_20260601_019879,UTR20260601906759,2026-06-01,05:23:58,2026-06-01 05:23:58,915.4,Debit,UPI,UPI,Bank of Baroda,068c684227d3a240,55abf309378d8528,NONE,Agra,Agra,Uttar Pradesh,27.165365,78.008934,0,None,0,DEV_5440,103.157.249.80,1,86.3,83678.19
TXN_20260601_048041,UTR20260601309097,2026-06-01,05:26:14,2026-06-01 05:26:14,2000.0,Debit,ATM,ATM,Union Bank of India,e7f04e5884c3a1de,e31ca41efe27d5d7,ATM_MAT_0496,Mathura,Mathura,Uttar Pradesh,27.460789,77.725786,0,None,0,DEV_6783,103.24.2.154,1,68.9,3327.09
TXN_20260601_023655,UTR20260601290997,2026-06-01,05:52:25,2026-06-01 05:52:25,1310.39,Debit,UPI,UPI,Axis Bank,9a05e03c50716650,fd19b7e4aa4f765c,NONE,Delhi,Central Delhi,Delhi,28.607897,77.192731,0,None,0,DEV_1588,103.82.231.219,1,11.1,22875.44
TXN_20260601_012108,UTR20260601920920,2026-06-01,05:57:58,2026-06-01 05:57:58,845.09,Credit,Online,Online,Punjab National Bank,25582be224487a7e,fbc871afcf770ed7,NONE,Delhi,Central Delhi,Delhi,28.598241,77.185712,0,None,0,DEV_3064,103.146.70.108,1,18.0,44588.96
TXN_20260601_046033,UTR20260601605517,2026-06-01,06:14:37,2026-06-01 06:14:37,3200.77,Debit,Online,Online,State Bank of India,3287ef8cfeb862ca,0e7105bd43e5fed0,NONE,Delhi,Central Delhi,Delhi,28.627111,77.215926,0,None,0,DEV_2886,103.151.64.242,1,63.9,3657.1
TXN_20260601_009440,UTR20260601313539,2026-06-01,06:18:33,2026-06-01 06:18:33,4000.0,Debit,ATM,ATM,HDFC Bank,3afdfd36244b2a0c,469e54f1b18ec956,ATM_PUN_0584,Punahana,Nuh,Haryana,27.875114,77.154191,0,None,0,DEV_6908,103.70.235.81,1,34.8,13904.23
TXN_20260601_047311,UTR20260601177321,2026-06-01,06:20:08,2026-06-01 06:20:08,193.62,Credit,UPI,UPI,Canara Bank,c4a61fb5152790b0,ddf7c38cd3251f1e,NONE,Howrah,Howrah,West Bengal,22.596342,88.255484,0,None,0,DEV_6890,103.125.4.159,1,21.6,16270.65
TXN_20260601_005333,UTR20260601575383,2026-06-01,06:27:43,2026-06-01 06:27:43,89.6,Debit,UPI,UPI,Bank of Baroda,1d2769d89ed57c14,7f8bace45e7d6de3,NONE,Alwar,Alwar,Rajasthan,27.564553,76.621855,0,None,0,DEV_1702,103.138.36.82,1,25.8,2267.8
TXN_20260601_004606,UTR20260601468752,2026-06-01,06:35:50,2026-06-01 06:35:50,582.83,Debit,POS/Card,POS/Card,State Bank of India,585cd1e02637f688,e3ca19422795d81d,NONE,Alwar,Alwar,Rajasthan,27.568191,76.64745,0,None,0,DEV_1566,103.63.29.9,1,10.5,2256.96
TXN_20260601_022058,UTR20260601272224,2026-06-01,06:36:30,2026-06-01 06:36:30,1627.15,Credit,Online,Online,ICICI Bank,1ef721376618438b,27558b17d3305811,NONE,Patna,Patna,Bihar,25.580119,85.155437,0,None,0,DEV_6749,103.159.218.93,1,46.1,1812.19
TXN_20260601_014514,UTR20260601559941,2026-06-01,06:51:59,2026-06-01 06:51:59,2411.44,Debit,Online,Online,State Bank of India,0b4d2eac195ee980,3391d6d0491c7342,NONE,Alwar,Alwar,Rajasthan,27.57549,76.617877,0,None,0,DEV_6350,103.104.172.224,2,19.0,12454.14
TXN_20260601_046745,UTR20260601800537,2026-06-01,06:55:34,2026-06-01 06:55:34,5158.61,Debit,Online,Online,Kotak Mahindra Bank,470b26633db78dc2,e644ef2bb04b843c,NONE,Kolkata,Kolkata,West Bengal,22.587361,88.363962,0,None,0,DEV_1190,103.24.121.141,1,16.9,24212.55
TXN_20260601_045435,UTR20260601229693,2026-06-01,07:00:10,2026-06-01 07:00:10,3854.63,Transfer,POS/Card,POS/Card,ICICI Bank,02cf418831d1a656,342e911db4a2e070,NONE,Patna,Patna,Bihar,25.581441,85.124374,0,None,0,DEV_9051,103.198.201.70,1,88.6,20327.05
TXN_20260601_045608,UTR20260601220483,2026-06-01,07:01:48,2026-06-01 07:01:48,8000.0,Debit,ATM,ATM,Bank of Baroda,08fdf90e4c480d29,97868f8767bf34c8,ATM_BHA_0599,Bharatpur,Bharatpur,Rajasthan,27.192999,77.488777,0,None,0,DEV_2340,103.151.159.108,1,40.4,21703.78
TXN_20260601_031644,UTR20260601690529,2026-06-01,07:25:48,2026-06-01 07:25:48,185.7,Debit,UPI,UPI,ICICI Bank,e8fbdacb4c22c9ef,bcdb136f4292b261,NONE,Alwar,Alwar,Rajasthan,27.545108,76.669184,0,None,0,DEV_8484,103.206.67.198,1,26.3,16731.45
TXN_20260601_008691,UTR20260601111811,2026-06-01,07:30:54,2026-06-01 07:30:54,5216.02,Transfer,Online,Online,HDFC Bank,d8f92046e329a129,4f9492c31e06ed64,NONE,Kolkata,Kolkata,West Bengal,22.513258,88.389164,0,None,0,DEV_8649,103.10.5.210,1,57.4,8509.56
TXN_20260601_009307,UTR20260601248307,2026-06-01,07:37:47,2026-06-01 07:37:47,99.43,Credit,UPI,UPI,Punjab National Bank,d720b8f72da5de69,9701aa5862fd1530,NONE,Kolkata,Kolkata,West Bengal,22.588522,88.353337,0,None,0,DEV_8056,103.32.151.210,1,18.9,8426.7
TXN_20260601_013389,UTR20260601837397,2026-06-01,07:38:01,2026-06-01 07:38:01,1411.75,Credit,UPI,UPI,Punjab National Bank,680b0a7a5bd71d27,ce5bb119082c5493,NONE,Dumka,Dumka,Jharkhand,24.257838,87.218643,0,None,0,DEV_7548,103.62.105.19,1,22.8,11543.95
TXN_20260601_012959,UTR20260601976845,2026-06-01,07:38:34,2026-06-01 07:38:34,1500.98,Debit,POS/Card,POS/Card,Kotak Mahindra Bank,1dd54dca3cdfe0a7,0a617d4144fc9374,NONE,Kolkata,Kolkata,West Bengal,22.574235,88.387743,0,None,0,DEV_2647,103.234.141.129,1,38.3,7540.93
TXN_20260601_027607,UTR20260601460996,2026-06-01,07:38:59,2026-06-01 07:38:59,7803.32,Transfer,Online,Online,HDFC Bank,4fa6f7b634b36722,5714e25d7ff1f0e2,NONE,Mathura,Mathura,Uttar Pradesh,27.501094,77.689472,0,None,0,DEV_6915,103.240.147.71,1,116.5,3019.5
TXN_20260601_028482,UTR20260601806077,2026-06-01,07:47:35,2026-06-01 07:47:35,930.47,Credit,Online,Online,Axis Bank,70870b8dbec4fb8e,4771eff623ca9801,NONE,Bharatpur,Bharatpur,Rajasthan,27.202559,77.488602,0,None,0,DEV_5441,103.132.95.174,1,12.0,7600.24
