Transaction_ID,Transaction_Reference,Transaction_Date,Transaction_Time,prediction_timestamp,Transaction_Amount,Transaction_Type,Payment_Mode,Channel,Bank_Name,sourceHashedAccNo,destinationHashedAccNo,ATM_ID,City,District,State,Latitude,Longitude,Is_Fraud,Fraud_Type,Mule_Chain_Hop,DeviceID,IP_Address,LoginAttempts,TransactionDuration,AccountBalance,ATM_Type,ATM_Onsite_Offsite,ATM_Indoor_Outdoor,ATM_Operating_Status,CCTV_Available,Security_Guard_Present,Shutter_Lock_Present,Location_Type,Urban_Rural,Complaint_Count_7D,Complaint_Count_30D,Complaint_Count_90D,Fraud_Count_7D,Fraud_Count_30D,Fraud_Count_90D,Total_Loss_7D,Total_Loss_30D,Total_Loss_90D,Average_Loss_30D,Withdrawal_Count_7D,Withdrawal_Count_30D,Withdrawal_Amount_30D,ATM_Fraud_Count_30D,Location_Fraud_Count_30D,Local_Fraud_Density,Nearby_ATM_Count,Average_Withdrawal_Amount_30D,Transaction_Velocity_1H,Transaction_Velocity_6H,Transaction_Velocity_24H,Withdrawal_Velocity_24H,future_cashout,future_withdrawal_volume
TXN_20260601_055723,UTR20260601564840,2026-06-01,02:29:02,2026-06-01 02:29:02,75000.0,Transfer,UPI,UPI,Punjab National Bank,28abd93f191a5f84,517b1ba44a88cfe1,NONE,Deoghar,Deoghar,Jharkhand,24.478503,86.693971,1,Vishing / Customer Care Scam,1,DEV_MULE_635,182.197.158.139,3,13.7,3800.59,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,9,9,9,9,9,9,359963.99,359963.99,359963.99,39996.0,5,5,73000.0,9,9,1.5,12,14600.0,0,0,0,0,0,0.0
TXN_20260601_055724,UTR20260601723234,2026-06-01,02:35:02,2026-06-01 02:35:02,62971.71,Transfer,UPI,UPI,Punjab National Bank,517b1ba44a88cfe1,4e508af0ad619bf8,NONE,Deoghar,Deoghar,Jharkhand,24.473943,86.681153,1,Vishing / Customer Care Scam,2,DEV_MULE_273,182.224.155.174,2,70.3,11231.45,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,10,10,10,10,10,10,434963.99,434963.99,434963.99,43496.4,5,5,73000.0,10,10,1.6667,12,14600.0,1,1,1,0,0,0.0
TXN_20260601_054122,UTR20260601621911,2026-06-01,02:42:02,2026-06-01 02:42:02,10751.14,Transfer,UPI,UPI,Bank of Baroda,a75ea9220a53636e,dcb9b35525e47b3b,NONE,Kaman,Bharatpur,Rajasthan,27.662013,77.245759,1,OTP / SIM-Swap Fraud,2,DEV_MULE_982,182.116.172.29,2,33.2,9022.43,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,11,11,11,11,11,11,497935.7,497935.7,497935.7,45266.88,5,5,73000.0,11,11,1.8333,12,14600.0,1,1,1,0,0,0.0
TXN_20260601_053917,UTR20260601310216,2026-06-01,02:46:39,2026-06-01 02:46:39,75000.0,Transfer,UPI,UPI,Punjab National Bank,9ae893c5ea980319,c585c4dd4c9c130a,NONE,Mathura,Mathura,Uttar Pradesh,27.501888,77.666871,1,ATM Skimming,1,DEV_MULE_123,182.104.170.37,3,20.2,1234.98,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,12,12,12,12,12,12,508686.84,508686.84,508686.84,42390.57,5,5,73000.0,12,12,2.0,12,14600.0,2,3,3,0,0,0.0
TXN_20260601_023061,UTR20260601940154,2026-06-01,02:49:29,2026-06-01 02:49:29,14070.77,Debit,Online,Online,HDFC Bank,9216188fd09e2aae,28a8d0ec84921d91,NONE,Bardhaman,Purba Bardhaman,West Bengal,23.210759,87.842752,0,,0,DEV_2017,103.90.147.115,1,61.3,20506.13,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,13,13,13,13,13,13,583686.84,583686.84,583686.84,44898.99,5,5,73000.0,13,13,2.1667,12,14600.0,0,0,0,0,0,0.0
TXN_20260601_057472,UTR20260601808244,2026-06-01,02:49:49,2026-06-01 02:49:49,75000.0,Transfer,UPI,UPI,Punjab National Bank,a01efd9056f78f7a,39d89ad58c428321,NONE,Dhanbad,Dhanbad,Jharkhand,23.790697,86.416586,1,UPI Phishing & Impersonation,1,DEV_MULE_862,182.196.208.20,3,8.6,7492.38,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,13,13,13,13,13,13,583686.84,583686.84,583686.84,44898.99,5,5,73000.0,13,13,2.1667,12,14600.0,0,0,0,0,0,0.0
TXN_20260601_056448,UTR20260601899484,2026-06-01,02:49:50,2026-06-01 02:49:50,35000.0,Debit,ATM,ATM,Bank of Baroda,5b906b46a1ae1e2f,f145ec6cb0917c0d,ATM_MAT_0231,Mathura,Mathura,Uttar Pradesh,27.516648,77.65185,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0231,10.24.62.24,3,35.3,188.52,Bank-Owned,Offsite,Indoor,Active,True,True,False,Shopping_Mall,Urban,14,14,14,14,14,14,658686.84,658686.84,658686.84,47049.06,5,5,73000.0,14,14,2.3333,12,14600.0,0,0,0,0,0,0.0
TXN_20260601_053918,UTR20260601912244,2026-06-01,02:50:39,2026-06-01 02:50:39,65930.38,Transfer,UPI,UPI,Punjab National Bank,c585c4dd4c9c130a,25b4897b17da60b5,NONE,Mathura,Mathura,Uttar Pradesh,27.490313,77.673674,1,ATM Skimming,2,DEV_MULE_199,182.59.81.170,2,10.2,1839.8,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,15,15,15,15,15,15,693686.84,693686.84,693686.84,46245.79,6,6,108000.0,15,15,2.1429,12,18000.0,3,4,4,0,0,0.0
TXN_20260601_057473,UTR20260601485444,2026-06-01,02:57:49,2026-06-01 02:57:49,65368.23,Transfer,UPI,UPI,Punjab National Bank,39d89ad58c428321,4f17dbd82bb31072,NONE,Dhanbad,Dhanbad,Jharkhand,23.803395,86.42943,1,UPI Phishing & Impersonation,2,DEV_MULE_685,182.80.164.225,2,18.0,681.0,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,16,16,16,16,16,16,759617.22,759617.22,759617.22,47476.08,6,6,108000.0,16,16,2.2857,12,18000.0,1,1,1,0,0,0.0
TXN_20260601_012962,UTR20260601314067,2026-06-01,03:07:41,2026-06-01 03:07:41,7622.26,Transfer,Online,Online,ICICI Bank,88c57491d0548e50,21282814bc223d78,NONE,Alwar,Alwar,Rajasthan,27.527675,76.635222,0,,0,DEV_4948,103.162.230.46,1,42.2,71551.36,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,17,17,17,17,17,17,824985.45,824985.45,824985.45,48528.56,6,6,108000.0,17,17,2.4286,12,18000.0,0,2,2,0,0,0.0
TXN_20260601_055725,UTR20260601660840,2026-06-01,03:10:02,2026-06-01 03:10:02,20000.0,Debit,ATM,ATM,Punjab National Bank,4e508af0ad619bf8,f145ec6cb0917c0d,ATM_DEO_0553,Deoghar,Deoghar,Jharkhand,24.51507,86.687463,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0553,10.24.222.98,2,80.0,177.56,Bank-Owned,Offsite,Outdoor,Active,True,False,True,Railway_Station,Semi-Urban,17,17,17,17,17,17,824985.45,824985.45,824985.45,48528.56,6,6,108000.0,17,17,2.4286,12,18000.0,0,0,0,0,0,0.0
TXN_20260601_045373,UTR20260601878317,2026-06-01,03:13:46,2026-06-01 03:13:46,64.91,Debit,UPI,UPI,Punjab National Bank,7975717ecf51266d,12d2c0f25a2d5fdc,NONE,Patna,Patna,Bihar,25.578115,85.109137,0,,0,DEV_9451,103.205.237.65,1,69.8,10589.95,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,18,18,18,18,18,18,844985.45,844985.45,844985.45,46943.64,7,7,128000.0,18,18,2.25,12,18285.71,1,1,1,0,0,0.0
TXN_20260601_053919,UTR20260601733725,2026-06-01,03:15:39,2026-06-01 03:15:39,20000.0,Debit,ATM,ATM,Punjab National Bank,25b4897b17da60b5,f145ec6cb0917c0d,ATM_MAT_0241,Mathura,Mathura,Uttar Pradesh,27.463168,77.693917,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0241,10.24.211.59,1,44.2,581.56,Bank-Owned,Onsite,Indoor,Active,False,False,True,Commercial_Area,Urban,18,18,18,18,18,18,844985.45,844985.45,844985.45,46943.64,7,7,128000.0,18,18,2.25,12,18285.71,0,0,0,0,0,0.0
TXN_20260601_054123,UTR20260601432516,2026-06-01,03:21:02,2026-06-01 03:21:02,40000.0,Debit,ATM,ATM,Bank of Baroda,dcb9b35525e47b3b,f145ec6cb0917c0d,ATM_KAM_0029,Kaman,Bharatpur,Rajasthan,27.626063,77.260344,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0029,10.24.112.70,2,33.5,1121.88,Bank-Owned,Onsite,Indoor,Active,True,True,False,Commercial_Area,Urban,19,19,19,19,19,19,864985.45,864985.45,864985.45,45525.55,8,8,148000.0,19,19,2.1111,12,18500.0,0,0,0,0,0,0.0
TXN_20260601_040818,UTR20260601683302,2026-06-01,03:33:33,2026-06-01 03:33:33,5000.0,Debit,ATM,ATM,Bank of Baroda,f8da27abd8014af7,1f790cde3922cf4e,ATM_NAL_0518,Nalanda,Nalanda,Bihar,25.137724,85.51946,0,,0,DEV_8871,103.47.64.67,1,13.8,10978.0,Bank-Owned,Onsite,Indoor,Active,True,True,True,Market,Semi-Urban,20,20,20,20,20,20,904985.45,904985.45,904985.45,45249.27,9,9,188000.0,20,20,2.0,12,20888.89,0,0,0,0,0,15000.0
TXN_20260601_051736,UTR20260601235289,2026-06-01,03:35:24,2026-06-01 03:35:24,95000.0,Transfer,UPI,UPI,State Bank of India,629f1471639b26b9,9a8b85214b7acbfb,NONE,Gurgaon/Gurugram,Gurugram,Haryana,28.466853,77.024469,1,Unauthorized ATM Cash-Out,1,DEV_MULE_862,182.89.80.22,3,5.4,6216.98,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,20,20,20,20,20,20,904985.45,904985.45,904985.45,45249.27,10,10,193000.0,20,20,1.8182,12,19300.0,0,2,2,0,0,0.0
TXN_20260601_057474,UTR20260601609935,2026-06-01,03:40:49,2026-06-01 03:40:49,10000.0,Debit,ATM,ATM,Punjab National Bank,4f17dbd82bb31072,f145ec6cb0917c0d,ATM_DHA_0175,Dhanbad,Dhanbad,Jharkhand,23.817246,86.374372,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0175,10.24.238.40,2,72.9,1019.49,Bank-Owned,Onsite,Indoor,Degraded,True,True,True,Market,Semi-Urban,21,21,21,21,21,21,999985.45,999985.45,999985.45,47618.35,10,10,193000.0,21,21,1.9091,12,19300.0,0,0,0,0,1,25000.0
TXN_20260601_049249,UTR20260601680076,2026-06-01,03:48:16,2026-06-01 03:48:16,25000.0,Transfer,UPI,UPI,HDFC Bank,7dac6f3722cb4ebf,4d501fa15a16851b,NONE,Kaman,Bharatpur,Rajasthan,27.650272,77.264862,1,ATM Skimming,1,DEV_MULE_922,182.203.139.160,3,14.7,10344.07,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,22,22,22,22,22,22,1009985.45,1009985.45,1009985.45,45908.43,11,11,203000.0,22,22,1.8333,12,18454.55,0,2,2,0,0,0.0
TXN_20260601_051737,UTR20260601191089,2026-06-01,03:51:24,2026-06-01 03:51:24,83303.85,Transfer,UPI,UPI,State Bank of India,9a8b85214b7acbfb,e55df95464dbec67,NONE,Gurgaon/Gurugram,Gurugram,Haryana,28.437649,77.014914,1,Unauthorized ATM Cash-Out,2,DEV_MULE_413,182.73.162.4,2,29.4,5418.94,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,23,23,23,23,23,23,1034985.45,1034985.45,1034985.45,44999.37,11,11,203000.0,23,23,1.9167,12,18454.55,1,3,3,0,0,0.0
TXN_20260601_049250,UTR20260601976918,2026-06-01,03:56:16,2026-06-01 03:56:16,20438.69,Transfer,UPI,UPI,HDFC Bank,4d501fa15a16851b,daf756291464073b,NONE,Kaman,Bharatpur,Rajasthan,27.668799,77.273665,1,ATM Skimming,2,DEV_MULE_366,182.144.54.84,2,27.7,22685.69,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,24,24,24,24,24,24,1118289.3,1118289.3,1118289.3,46595.39,11,11,203000.0,24,24,2.0,12,18454.55,1,3,3,0,0,0.0
TXN_20260601_000720,UTR20260601651986,2026-06-01,03:57:18,2026-06-01 03:57:18,1000.0,Debit,ATM,ATM,Axis Bank,9d714bf8be2689cf,0a3ba6cc723c5112,ATM_DUM_0169,Dumka,Dumka,Jharkhand,24.282029,87.195075,0,,0,DEV_5021,103.82.205.78,1,11.1,24275.28,Brown-Label,Onsite,Indoor,Active,True,True,True,Shopping_Mall,Urban,25,25,25,25,25,25,1138727.99,1138727.99,1138727.99,45549.12,11,11,203000.0,25,25,2.0833,12,18454.55,0,0,0,0,0,0.0
TXN_20260601_036105,UTR20260601696259,2026-06-01,04:00:55,2026-06-01 04:00:55,191.8,Debit,UPI,UPI,HDFC Bank,4d3226f4d8775b36,9440c59172e88a5b,NONE,Alwar,Alwar,Rajasthan,27.507484,76.672085,0,,0,DEV_4136,103.123.17.89,1,46.4,13583.81,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,25,25,25,25,25,25,1138727.99,1138727.99,1138727.99,45549.12,12,12,204000.0,25,25,1.9231,12,17000.0,1,3,3,0,0,0.0
TXN_20260601_049251,UTR20260601926066,2026-06-01,04:04:16,2026-06-01 04:04:16,10000.0,Debit,ATM,ATM,HDFC Bank,daf756291464073b,f145ec6cb0917c0d,ATM_KAM_0189,Kaman,Bharatpur,Rajasthan,27.60983,77.267082,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0189,10.24.178.225,1,76.8,533.53,White-Label,Onsite,Indoor,Active,True,False,True,Market,Semi-Urban,25,25,25,25,25,25,1138727.99,1138727.99,1138727.99,45549.12,12,12,204000.0,25,25,1.9231,12,17000.0,0,0,0,0,0,0.0
TXN_20260601_018483,UTR20260601175198,2026-06-01,04:09:59,2026-06-01 04:09:59,205.63,Debit,POS/Card,POS/Card,ICICI Bank,1c2b76f6dbadfbaa,deedb17f98f559de,NONE,Dhanbad,Dhanbad,Jharkhand,23.796711,86.461858,0,,0,DEV_4616,103.101.41.133,1,34.6,16361.97,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,26,26,26,26,26,26,1148727.99,1148727.99,1148727.99,44181.85,13,13,214000.0,26,26,1.8571,12,16461.54,0,2,2,0,0,0.0
TXN_20260601_051738,UTR20260601393682,2026-06-01,04:12:24,2026-06-01 04:12:24,20000.0,Debit,ATM,ATM,State Bank of India,e55df95464dbec67,f145ec6cb0917c0d,ATM_GUR_0271,Gurgaon/Gurugram,Gurugram,Haryana,28.46398,77.073869,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0271,10.24.118.213,3,37.6,2071.58,Bank-Owned,Onsite,Indoor,Active,True,False,True,Educational_Area,Semi-Urban,26,26,26,26,26,26,1148727.99,1148727.99,1148727.99,44181.85,13,13,214000.0,26,26,1.8571,12,16461.54,0,0,0,0,0,0.0
TXN_20260601_049891,UTR20260601532516,2026-06-01,04:19:36,2026-06-01 04:19:36,95000.0,Transfer,UPI,UPI,ICICI Bank,8859797bdc6f1666,12649093eaa7ca4d,NONE,Patna,Patna,Bihar,25.590425,85.122335,1,ATM Skimming,1,DEV_MULE_766,182.103.199.61,3,28.4,1365.11,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,27,27,27,27,27,27,1168727.99,1168727.99,1168727.99,43286.22,14,14,234000.0,27,27,1.8,12,16714.29,0,2,2,0,0,0.0
TXN_20260601_035512,UTR20260601779142,2026-06-01,04:23:37,2026-06-01 04:23:37,941.13,Debit,UPI,UPI,Union Bank of India,7034c908a0d71213,348f06f302d9332a,NONE,Delhi,Central Delhi,Delhi,28.640268,77.200243,0,,0,DEV_6555,103.170.88.208,1,49.0,1985.56,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,28,28,28,28,28,28,1263727.99,1263727.99,1263727.99,45133.14,14,14,234000.0,28,28,1.8667,12,16714.29,0,2,2,0,0,0.0
TXN_20260601_055438,UTR20260601914382,2026-06-01,04:28:28,2026-06-01 04:28:28,75000.0,Transfer,UPI,UPI,Axis Bank,6a817c405bac5dc0,2857600ba66b2a07,NONE,Delhi,Central Delhi,Delhi,28.610848,77.19699,1,UPI Phishing & Impersonation,1,DEV_MULE_254,182.208.25.149,3,36.7,2732.74,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,28,28,28,28,28,28,1263727.99,1263727.99,1263727.99,45133.14,14,14,234000.0,28,28,1.8667,12,16714.29,1,3,3,0,0,0.0
TXN_20260601_056752,UTR20260601662185,2026-06-01,04:36:27,2026-06-01 04:36:27,25000.0,Transfer,UPI,UPI,HDFC Bank,cafaf39c78abcf1f,89b54f02989cf439,NONE,Bardhaman,Purba Bardhaman,West Bengal,23.230072,87.855453,1,UPI Phishing & Impersonation,1,DEV_MULE_983,182.198.188.119,3,5.5,2733.74,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,29,29,29,29,29,29,1338727.99,1338727.99,1338727.99,46163.03,14,14,234000.0,29,29,1.9333,12,16714.29,0,1,1,0,0,0.0
